Stare Time: 24-Sep-2019 00:38:47
 Time    Current        Gap      Phase         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff  CH11   CH12   CH13   CH14   CH15   CH16   CH17   CH21   CH22   CH23   CH24   CH25   CH26   CH27
00:38    350.317      21.50      28.00     757.26     437.72       0.00       0.00       0.00       0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
00:40    349.052      21.50      28.00     757.59     437.72     141.05      56.80       0.00       0.00 -0.45  -0.19   0.25  -0.31   0.20   0.17  -0.22   0.31   0.10  -0.46  -0.47  -0.15   0.22   0.25 
00:40    348.985      21.50      28.00     758.43     437.31     140.58      56.51       0.00       0.00  0.19  -0.08   0.21   0.28  -0.29  -0.05   0.11   0.03   0.03  -0.24   0.49  -0.38  -0.23  -0.01 
00:40    348.903      21.50      28.00     758.01     437.48     140.79      55.63       0.00       0.00 -0.31   0.31   0.01  -0.37  -0.24   0.34  -0.36   0.12   0.23  -0.11   0.49   0.08  -0.29  -0.18 
00:40    348.818      21.50      28.00     755.02     438.97     140.37      57.66       0.00       0.00 -0.17  -0.11  -0.41   0.34  -0.30   0.23  -0.40  -0.01  -0.42  -0.31  -0.39   0.23  -0.43  -0.12 
00:40    348.753      21.50      28.00     754.76     438.15     140.84      56.23       0.00       0.00  0.30  -0.14  -0.49  -0.01   0.12  -0.29  -0.38   0.14  -0.19  -0.35   0.40   0.07  -0.14  -0.49 
00:40    348.667      21.50      28.00     755.18     438.06     141.05      57.13       0.00       0.00 -0.05  -0.20   0.16  -0.08   0.06   0.40   0.32   0.42  -0.38  -0.15  -0.30   0.29   0.30  -0.21 
00:40    348.598      21.50      28.00     758.68     437.72     141.20      55.45       0.00       0.00  0.32   0.01  -0.31   0.33  -0.42  -0.44   0.16   0.19  -0.29   0.20   0.37  -0.04  -0.35  -0.45 
00:40    348.515      21.50      28.00     754.18     438.89     140.22      56.66       0.00       0.00 -0.23   0.29  -0.44   0.28   0.25   0.14  -0.25  -0.26   0.19   0.08  -0.02   0.27   0.21  -0.17 
00:40    348.450      21.50      28.00     754.10     438.64     140.62      55.42       0.00       0.00 -0.23   0.29  -0.44   0.28   0.25   0.14  -0.25  -0.26   0.19   0.08  -0.02   0.27  -0.14  -0.24 
00:40    348.404      21.50      28.00     756.34     438.15     140.33      56.16       0.00       0.00  0.49   0.04  -0.46  -0.45   0.06  -0.18  -0.06  -0.20   0.32   0.16   0.28  -0.12  -0.14  -0.24 
00:40    348.354      21.50      28.00     755.84     438.15     140.50      57.58       0.00       0.00 -0.30   0.48  -0.05   0.10  -0.07   0.09  -0.11  -0.20   0.08  -0.46  -0.14  -0.48  -0.32   0.21 
00:40    348.293      21.50      28.00     755.50     438.15     140.49      57.47       0.00       0.00 -0.46  -0.43   0.22  -0.22  -0.09   0.42   0.14  -0.40  -0.33   0.41  -0.33   0.17   0.40   0.10 
00:41    348.211      21.50      28.00     751.43     438.80     140.49      57.47       0.00       0.00 -0.45   0.04   0.42   0.18  -0.10  -0.48  -0.18  -0.15  -0.26   0.15   0.21  -0.26   0.26   0.47 
00:41    348.145      21.50      28.00     752.68     438.80     140.73      59.85       0.00       0.00  0.31  -0.19   0.36   0.17   0.43   0.43   0.07  -0.43  -0.09  -0.40  -0.03  -0.04   0.38   0.29 
00:41    348.065      21.50      28.00     750.83     439.23     140.09      57.07       0.00       0.00  0.30  -0.42   0.01   0.43   0.19  -0.43   0.02  -0.42  -0.23   0.23   0.31   0.30   0.28  -0.20 
00:41    347.981      21.50      28.00     756.68     439.14     140.29      56.83       0.00       0.00  0.44   0.41   0.25   0.46  -0.02  -0.01   0.43  -0.43   0.27   0.38   0.05  -0.30  -0.22   0.00 
00:41    347.917      21.50      28.00     757.52     437.89     140.75      56.59       0.00       0.00 -0.43  -0.02  -0.02  -0.34   0.28  -0.17  -0.27   0.44  -0.43  -0.14  -0.39   0.02   0.25   0.12 
00:41    347.832      21.50      28.00     761.76     437.72     141.10      56.49       0.00       0.00  0.17  -0.36  -0.38  -0.15   0.23   0.43   0.38   0.13  -0.29   0.20   0.11   0.45   0.14  -0.31 
00:41    347.768      21.50      28.00     761.52     437.98     141.10      58.66       0.00       0.00 -0.09   0.43   0.45   0.12   0.31  -0.28   0.44  -0.04  -0.49  -0.31  -0.31   0.12   0.18   0.01 
00:41    347.683      21.50      28.00     752.68     438.80     140.11      57.48       0.00       0.00 -0.19   0.47  -0.42  -0.33  -0.08   0.46  -0.36  -0.24  -0.44   0.12   0.37  -0.05  -0.31   0.09 
00:41    347.604      21.50      28.00     753.84     438.64     140.01      56.60       0.00       0.00 -0.49   0.39   0.29   0.34  -0.42  -0.05  -0.32   0.03  -0.12  -0.24  -0.38   0.33  -0.02   0.15 
00:41    347.537      21.50      28.00     753.93     438.15     141.25      54.97       0.00       0.00 -0.45  -0.33  -0.38  -0.11  -0.13   0.12   0.30   0.12   0.11   0.39   0.12  -0.01  -0.18   0.47 
00:41    347.450      21.50      28.00     762.52     436.80     140.87      56.60       0.00       0.00 -0.03  -0.03  -0.26  -0.37   0.44   0.48   0.34   0.17  -0.16   0.35  -0.29   0.47   0.24  -0.09 
00:41    347.386      21.50      28.00     762.60     438.06     141.23      56.54       0.00       0.00  0.10   0.14  -0.09   0.42  -0.21  -0.04  -0.39  -0.35  -0.26  -0.03  -0.47  -0.16   0.48   0.45 
00:42    347.306      21.50      28.00     761.18     437.89     141.23      56.54       0.00       0.00  0.29   0.06  -0.20  -0.40   0.06   0.44   0.24   0.07  -0.40  -0.18  -0.00  -0.19  -0.45  -0.32 
00:42    347.220      21.50      28.00     754.18     438.56     140.95      57.48       0.00       0.00  0.48   0.37  -0.31   0.36  -0.06  -0.16   0.23  -0.32  -0.22   0.09   0.26   0.20  -0.15  -0.02 
00:42    347.157      21.50      28.00     756.51     437.89     140.71      55.51       0.00       0.00 -0.36   0.34   0.41  -0.08  -0.44  -0.35  -0.08   0.36  -0.20   0.38   0.13   0.48   0.38  -0.29 
00:42    347.075      21.50      28.00     752.92     438.06     140.71      57.31       0.00       0.00  0.30   0.20   0.22   0.18   0.25  -0.40  -0.10  -0.11  -0.39   0.35  -0.09   0.02   0.05  -0.47 
00:42    347.009      21.50      28.00     752.42     438.56     140.77      55.68       0.00       0.00  0.30   0.20  -0.06   0.09  -0.39  -0.38   0.43  -0.22   0.41  -0.41   0.23  -0.47   0.24   0.14 
00:42    346.961      21.50      28.00     759.68     437.14     141.05      56.06       0.00       0.00 -0.49  -0.01  -0.06   0.09  -0.39  -0.38   0.43  -0.22   0.41  -0.41   0.23  -0.47   0.24   0.14 
00:42    346.911      21.50      28.00     758.51     437.38     141.15      55.64       0.00       0.00 -0.30  -0.03  -0.09  -0.09  -0.16  -0.14   0.31  -0.18   0.22  -0.08   0.14   0.07   0.42   0.00 
00:42    346.846      21.50      28.00     752.92     438.80     140.05      56.22       0.00       0.00  0.35  -0.08  -0.12  -0.30  -0.23  -0.31  -0.39  -0.03   0.14  -0.39   0.11   0.45  -0.27   0.40 
00:42    346.783      21.50      28.00     753.17     438.56     141.37      57.08       0.00       0.00  0.35  -0.08  -0.12  -0.30  -0.23  -0.31  -0.39  -0.03   0.14  -0.39   0.11   0.45  -0.19   0.15 
00:42    346.734      21.50      28.00     758.17     438.06     140.84      56.45       0.00       0.00 -0.19   0.36  -0.46   0.41  -0.01  -0.31   0.24   0.22  -0.48  -0.18   0.01  -0.03  -0.19   0.15 
00:42    346.683      21.50      28.00     760.84     437.22     140.63      55.20       0.00       0.00  0.38   0.04  -0.47  -0.12  -0.45   0.07   0.26   0.10   0.05   0.35  -0.36  -0.43   0.19   0.31 
00:42    346.619      21.50      28.00     753.34     438.15     140.13      56.16       0.00       0.00 -0.36   0.29  -0.25  -0.49   0.48  -0.44  -0.36  -0.26   0.45   0.17   0.09  -0.33   0.17  -0.43 
00:42    346.536      21.50      28.00     753.67     438.22     140.89      57.30       0.00       0.00 -0.35   0.04   0.49   0.47   0.41   0.16   0.08   0.18   0.03   0.13  -0.39   0.25   0.45   0.23 
00:43    346.472      21.50      28.00     754.76     438.22     140.72      57.72       0.00       0.00 -0.04   0.10   0.24   0.04   0.21  -0.10  -0.06  -0.06  -0.44  -0.15  -0.42  -0.09  -0.05   0.17 
00:43    346.389      21.50      28.00     754.76     437.98     140.72      57.72       0.00       0.00 -0.10  -0.34   0.42   0.05   0.29  -0.26  -0.35   0.50   0.05   0.39  -0.20  -0.11  -0.47  -0.34 
00:43    346.323      21.50      28.00     754.76     438.15     140.68      56.80       0.00       0.00 -0.07   0.08  -0.45   0.24   0.12  -0.37  -0.19   0.03  -0.10  -0.39   0.27  -0.01   0.14  -0.20 
00:43    346.245      21.50      28.00     753.60     438.89     140.64      57.64       0.00       0.00 -0.10  -0.24  -0.34   0.23  -0.40  -0.20   0.01  -0.39  -0.24  -0.20   0.17  -0.05   0.38  -0.43 
00:43    346.160      21.50      28.00     754.51     438.97     140.16      57.44       0.00       0.00 -0.27  -0.29   0.38   0.34  -0.02   0.42  -0.26  -0.14   0.10   0.38  -0.32   0.50  -0.10  -0.29 
00:43    346.096      21.50      28.00     755.35     438.15     140.31      57.77       0.00       0.00 -0.12  -0.26   0.00  -0.38  -0.18   0.08  -0.00  -0.17  -0.40   0.01   0.09  -0.35  -0.10   0.18 
00:43    346.014      21.50      28.00     756.01     437.81     140.83      57.68       0.00       0.00  0.42  -0.03  -0.43  -0.00   0.15  -0.17   0.41  -0.27  -0.30  -0.17   0.43   0.22   0.44  -0.36 
00:43    345.951      21.50      28.00     756.43     438.15     140.24      58.88       0.00       0.00 -0.42   0.29  -0.41   0.35  -0.46   0.48   0.14  -0.24  -0.42  -0.23  -0.04   0.01   0.22   0.03 
00:43    345.865      21.50      28.00     757.01     437.72     140.97      57.06       0.00       0.00 -0.28  -0.00   0.14   0.03   0.38   0.17  -0.49   0.16   0.49  -0.41  -0.33  -0.10  -0.45  -0.21 
00:43    345.786      21.50      28.00     756.75     437.98     140.87      57.14       0.00       0.00 -0.23  -0.30  -0.33  -0.44   0.30   0.13  -0.36   0.21  -0.33  -0.23   0.39   0.09  -0.12  -0.31 
00:43    345.721      21.50      28.00     756.60     437.81     140.61      56.32       0.00       0.00  0.06  -0.38   0.20   0.34  -0.49   0.42  -0.06   0.31  -0.07   0.31   0.30   0.37   0.05  -0.39 
