Stare Time: 29-Sep-2019 20:31:42
    Time    Current       EPUg       EPUp        U50        U90         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff      CH11   CH12   CH13   CH14   CH15   CH16   CH17   CH21   CH22   CH23   CH24   CH25   CH26   CH27
20:31:42    356.897      21.50      28.00      24.30      30.00     759.52     437.89     136.13      62.02       0.00       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
20:31:48    356.821      21.50      28.00      24.30      30.00     748.26     438.97     135.04      63.36       0.00       0.00      1.26   1.63  -1.50   1.66   0.53  -1.61  -0.89   0.19   1.83   1.86  -1.37   1.89   1.83  -0.06 
20:31:53    356.749      21.50      28.00      24.30      30.00     752.92     439.81     135.47      65.84       0.00       0.00      1.20  -1.44  -0.31   1.67   1.17   1.84   0.62  -1.86   1.40   1.74   0.72   1.03   0.97  -0.43 
20:31:59    356.675      21.50      28.00      24.30      30.00     758.27     437.98     135.95      63.00       0.00       0.00      0.62  -1.32   0.83  -1.88  -0.89  -1.82  -1.62   1.30   0.78  -0.73   1.81  -1.87  -0.25  -0.47 
20:32:04    356.601      21.50      28.00      24.30      30.00     775.86     435.55     135.95      63.00       0.00       0.00      1.06   1.18  -1.26  -0.04  -0.22   0.59   0.84   1.02  -0.90   0.72   0.62  -1.35  -1.53  -0.01 
20:32:09    356.523      21.50      28.00      24.30      30.00     771.19     435.22     137.28      57.59       0.00       0.00      1.84  -0.64   0.34  -1.11   1.01  -0.98   0.02   0.80   1.57   1.84   0.19  -1.45  -1.41  -0.97 
20:32:15    356.450      21.50      28.00      24.30      30.00     737.91     442.31     134.30      64.58       0.00       0.00      1.37  -0.99   1.26  -1.03   1.72  -0.60  -1.22  -1.00   0.47  -0.11  -0.59   1.33   0.34   0.20 
20:32:20    356.381      21.50      28.00      24.30      30.00     727.32     444.40     133.20      66.16       0.00       0.00      1.67  -0.86   1.03   1.02  -0.48   0.27  -1.70  -1.79   0.12   1.12   1.74  -1.48   0.28  -0.12 
20:32:25    356.308      21.50      28.00      24.30      30.00     750.93     440.15     135.11      61.29       0.00       0.00     -1.96  -0.65  -1.35   1.18  -0.76   0.11  -1.34   0.41  -0.95   0.62   0.76   1.00  -0.20  -1.67 
20:32:31    356.239      21.50      28.00      24.30      30.00     740.99     441.06     134.33      70.31       0.00       0.00     -1.09   1.66  -1.39   1.31   0.15   1.99  -1.69  -0.23  -1.58   1.85  -1.99   1.10   1.27   1.48 
20:32:36    356.165      21.50      28.00      24.30      30.00     742.00     441.40     134.02      72.35       0.00       0.00     -1.67  -0.40  -0.96   1.20  -0.28   1.65  -1.28  -0.95  -1.42  -1.46   1.48   0.32   0.20  -1.42 
20:32:42    356.093      21.50      28.00      24.30      30.00     729.15     444.07     133.70      68.36       0.00       0.00      1.42   0.49  -0.60   0.05  -0.39  -1.70  -1.04  -1.51  -1.27  -1.04  -0.33  -1.81   1.61   1.78 
20:32:47    356.022      21.50      28.00      24.30      30.00     757.18     438.39     135.66      65.81       0.00       0.00     -0.04  -0.04  -0.65   1.60  -0.52  -1.56   1.12  -0.44  -1.04  -0.39  -1.62  -1.48   1.77   1.83 
20:32:52    355.955      21.50      28.00      24.30      30.00     731.58     443.56     133.40      65.36       0.00       0.00      0.30  -1.77  -1.06  -0.59   1.29  -1.94  -1.83  -1.33   0.60   0.93   0.59  -0.20   0.19  -0.82 
20:32:58    355.880      21.50      28.00      24.30      30.00     762.19     437.48     136.55      59.37       0.00       0.00      0.98  -1.25   0.75  -1.27  -0.53   0.50   1.12  -1.68   1.72   1.11  -0.05  -0.26  -0.21  -0.78 
20:33:03    355.808      21.50      28.00      24.30      30.00     760.77     438.22     136.55      59.37       0.00       0.00      0.03   0.04   1.27   1.18   0.58  -0.49   1.25   0.13  -0.60   1.76   1.51   0.20   0.49   0.35 
20:33:08    355.739      21.50      28.00      24.30      30.00     735.24     442.82     133.99      66.83       0.00       0.00     -1.17  -0.80  -0.12  -1.08   1.38  -1.22  -1.10  -1.32  -1.09  -0.26  -0.76   1.70  -0.28  -1.26 
20:33:13    355.663      21.50      28.00      24.30      30.00     757.93     437.98     135.64      61.19       0.00       0.00      1.62   1.92  -0.25  -1.56  -0.97  -0.37   0.38  -0.95   0.41   0.85  -1.12  -1.53  -0.82  -0.73 
20:33:19    355.582      21.50      28.00      24.30      30.00     778.29     435.22     138.21      57.57       0.00       0.00     -0.30   0.03  -1.66  -0.95   1.21  -1.89   1.72   0.92  -0.05   0.31  -1.05  -0.17   1.86   0.19 
20:33:24    355.510      21.50      28.00      24.30      30.00     763.44     436.22     136.36      59.40       0.00       0.00      0.08  -1.08  -0.04   0.50   0.72  -0.42  -0.53   1.96  -1.85   1.54   1.66   1.19  -1.61  -0.95 
20:33:29    355.436      21.50      28.00      24.30      30.00     772.70     435.55     137.33      57.41       0.00       0.00     -0.66   0.72  -1.46   0.89  -1.58   0.62  -0.02   1.12   0.86   1.62   1.57  -0.67   0.80  -1.21 
