Stare Time: 15-Dec-2019 14:52:47
    Time    Current       EPUg       EPUp        U50        U90         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff
14:52:47    361.569      50.00       0.00      31.33      64.70     758.10     439.89     140.03      62.81      64.23      33.71
14:52:47    361.807      48.00       0.00      31.33      64.70     758.34     439.89     140.30      61.83      64.12      31.63
14:52:47    361.418      46.00       0.00      31.33      64.70     758.10     440.73     140.31      64.26      63.89      31.63
14:52:47    361.816      44.00       0.00      31.33      64.70     758.34     440.80     140.37      64.19      63.78      31.09
14:52:47    361.424      42.00       0.00      31.33      64.70     758.51     440.48     140.66      63.15      63.49      31.09
14:52:47    361.846      40.00       0.00      31.33      64.70     758.68     440.89     140.08      65.16      63.32      34.32
14:52:47    361.449      38.00       0.00      31.33      64.70     758.77     441.81     140.03      64.70      62.92      34.32
14:52:47    361.834      36.00       0.00      31.33      64.70     758.51     442.14     141.10      65.80      62.66      31.29
14:52:47    361.434      34.00       0.00      31.33      64.70     758.77     443.23     141.30      68.05      62.13      31.29
14:52:47    361.822      32.01       0.00      31.33      64.70     758.94     443.81     141.22      65.97      61.38      34.52
14:52:47    361.415      30.00       0.00      31.33      64.70     759.10     444.72     141.68      68.09      60.74      34.52
14:52:47    361.856      28.00       0.00      31.33      64.70     759.43     445.64     141.30      66.49      60.16      30.02
14:52:47    361.444      26.00       0.00      31.33      64.70     760.36     447.39     141.59      69.03      59.49      30.02
14:52:47    361.905      24.00       0.00      31.33      64.70     761.10     449.24     142.20      67.07      58.92      26.33
14:52:47    361.480      22.00       0.00      31.33      64.70     761.68     452.23     141.48      68.37       0.10      26.33
14:52:47    331.447      21.50       0.00      31.33      64.70     761.18     453.57     141.47      68.57       0.30      26.33
14:52:47    331.077      22.00       0.00      31.33      64.70     761.01     452.83     141.37      68.22      54.55      26.33
14:52:47    334.573      24.00       0.00      31.33      64.70     760.10     450.16     141.62      69.05      55.53      29.32
14:52:47    334.210      26.00       0.00      31.33      64.70     759.43     448.31     141.70      67.05      55.97      29.32
14:52:47    337.636      28.00       0.00      31.33      64.70     758.94     446.31     141.54      68.47      56.96      30.68
14:52:47    337.274      30.00       0.00      31.33      64.70     758.51     445.15     141.47      66.18      57.24      30.68
14:52:47    339.518      32.00       0.00      31.33      64.70     758.34     444.07     141.11      66.37       0.22      30.82
14:52:47    339.152      34.00       0.00      31.33      64.70     758.17     443.23     140.90      65.34      58.25      30.82
14:52:47    342.796      36.00       0.00      31.33      64.70     758.01     442.31     140.84      66.06      59.29      35.70
14:52:47    342.432      38.00       0.00      31.33      64.70     758.10     442.14     140.23      66.63      59.59      35.70
14:52:47    346.257      40.00       0.00      31.33      64.70     758.01     441.47     140.11      63.71      60.54      34.80
14:52:47    345.887      42.00       0.00      31.33      64.70     758.10     441.31     140.59      64.08      60.76      34.80
14:52:47    347.191      44.00       0.00      31.33      64.70     757.93     440.97     140.31      62.59      61.22      33.85
14:52:47    346.823      46.00       0.00      31.33      64.70     758.01     440.80     140.33      63.10      61.36      33.85
14:52:47    349.185      48.00       0.00      31.33      64.70     758.01     439.98     139.62      62.87      61.94      35.84
14:52:47    348.819      50.00       0.00      31.33      64.70     757.76     440.48     140.32      62.50      62.03      35.84
