Stare Time: 29-Sep-2019 22:04:50
    Time    Current       EPUg       EPUp        U50        U90         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff      CH11   CH12   CH13   CH14   CH15   CH16   CH17   CH21   CH22   CH23   CH24   CH25   CH26   CH27
22:04:50    361.180      25.00      28.00      24.30      30.00     767.53     434.55     136.66      58.95      66.32       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
22:04:56    361.109      25.00      28.00      24.30      30.00     777.45     432.06     138.28      57.71      66.84       0.00      0.92  -0.34  -1.53   0.39  -1.99   1.76   0.77  -0.92   1.02   0.63  -0.87   0.14  -1.76   0.71 
22:05:01    361.026      25.00      28.00      24.30      30.00     777.61     428.55     138.28      57.71      67.22       0.00      1.70  -0.13  -0.53   1.67  -1.96   1.72   0.78   1.29   1.43  -1.56   0.82   0.21   0.08  -0.75 
22:05:06    360.947      25.00      28.00      24.30      30.00     761.35     435.05     136.40      58.52      65.92       0.00     -1.36  -0.72   0.69   0.10   0.43   1.04  -1.35  -0.02   1.06  -0.80   1.36   0.72  -0.69   0.15 
22:05:12    360.867      25.00      28.00      24.30      30.00     761.18     428.14     140.87      53.97      67.22       0.00      1.35  -1.03  -1.93   0.43   0.16  -1.10   1.68   1.75  -0.05   0.79   0.07  -0.86  -1.97  -0.83 
22:05:17    360.782      25.00      28.00      24.30      30.00     747.92     438.06     134.79      60.81      65.26       0.00      0.67  -1.38  -1.10   1.51   0.42   0.59  -1.73  -1.13   1.12   0.52  -1.72   0.63   0.08   1.79 
22:05:23    360.704      25.00      28.00      24.30      30.00     760.94     436.47     136.45      57.63      65.61       0.00     -1.92   0.92  -0.41   0.75  -1.71   1.03  -1.80   0.57   0.00   0.12   0.96  -0.90  -1.05   1.04 
22:05:28    360.628      25.00      28.00      24.30      30.00     761.18     430.47     139.00      59.90      66.98       0.00      1.84  -1.34  -0.49  -1.62   1.74   1.21   0.92   1.18   0.30  -0.55  -1.36   1.55   1.61   1.04 
22:05:33    360.555      25.00      28.00      24.30      30.00     745.92     438.80     134.58      61.67      65.23       0.00     -0.55  -0.02   0.64  -0.85  -1.43  -0.77  -0.61  -1.45  -1.14   0.22  -1.80  -0.33   0.85   1.52 
22:05:39    360.482      25.00      28.00      24.30      30.00     745.92     438.56     135.68      59.59      65.06       0.00      0.41  -0.14   1.26  -0.71  -0.50  -1.45   0.62  -1.90  -1.07   1.92   1.78   1.93  -1.74  -1.22 
22:05:44    360.413      25.00      28.00      24.30      30.00     771.02     432.81     137.00      62.02      66.36       0.00     -0.31   0.15  -0.15   0.50   0.01   1.17   0.84   0.28  -1.38   0.50   1.71   1.94   0.89  -1.25 
22:05:49    360.341      25.00      28.00      24.30      30.00     762.10     434.64     135.85      64.84      65.85       0.00      1.44  -1.49   0.98  -1.81   0.60  -1.77   1.68  -1.32  -1.65  -0.78   0.69  -1.19   1.90  -1.85 
22:05:55    360.268      25.00      28.00      24.30      30.00     767.36     434.64     136.24      57.64      64.86       0.00     -0.03   0.57  -0.38  -1.78   0.52  -1.14   0.52  -0.42   1.19   1.52   1.12   0.81  -0.32   0.58 
22:06:00    360.190      25.00      28.00      24.30      30.00     767.27     428.63     137.10      58.07      66.66       0.00     -1.69  -0.48  -0.25  -0.37  -0.91  -1.08   0.95   1.52   1.09  -1.86   0.22   0.35  -1.02  -0.41 
22:06:06    360.106      25.00      28.00      24.30      30.00     774.20     431.97     137.10      58.07      66.26       0.00      1.23  -0.79  -0.04   1.13  -0.20   1.34   0.71  -1.66   1.93   0.27  -1.17  -1.62  -1.75  -1.90 
22:06:11    360.034      25.00      28.00      24.30      30.00     757.52     435.80     136.12      59.47      65.61       0.00     -0.67   0.23   1.39   0.51   0.40  -1.16  -0.99   0.61  -0.69   0.09  -1.50  -0.19   1.98  -0.40 
22:06:16    359.955      25.00      28.00      24.30      30.00     781.20     430.88     138.23      55.65      66.54       0.00     -1.76  -0.83   0.21   0.96  -0.73  -0.02   0.52   1.02   0.78  -1.46   1.63  -0.49   0.12   1.96 
22:06:22    359.884      25.00      28.00      24.30      30.00     758.60     435.89     135.24      72.35      64.72       0.00      1.84   1.27  -0.31   1.28  -0.22  -0.48   0.83  -1.05  -1.30  -1.05  -0.87  -1.84   0.21   1.77 
22:06:27    359.809      25.00      28.00      24.30      30.00     771.53     433.72     137.28      58.69      66.25       0.00      1.15  -1.04   0.79  -1.94   1.08  -0.67  -0.71   1.06  -0.46  -1.13   0.25  -1.12  -1.35  -0.40 
